currency,AUD,BRL,CAD,CHF,CNY,DKK,EUR,GBP,HKD,INR,JPY,KRW,LKR,MXN,MYR,NOK,NZD,SEK,SGD,THB,TWD,VEF,ZAR
AUD,1.0,0.3845654962958273,0.5029341500327645,0.27384261867747456,0.054287786452986854,0.3509788095168138,0.5502906152293904,0.38184868755874074,0.039125789691581966,0.18015338302663514,0.1436051341828251,0.2506112805671681,0.0019074344740609747,0.3200183354475029,0.23209389976267183,0.4346166615244132,0.6806345386010276,0.4146824679051855,0.4697892956373969,0.19401642465847696,0.24962221769934748,0.0059958603423728015,0.41393310872474165
BRL,0.3845654962958273,1.0,0.3425001656088764,0.10283893622299382,0.1206785772259297,0.20087438475928776,0.22638909907103016,0.22786664085265182,0.06706550414765595,0.2057084861364199,-0.020088277691109317,0.19277632133664235,0.011947705599507577,0.40215174752356675,0.132720565464883,0.3065328201605737,0.3295438711389846,0.2742354201316846,0.2906213347711198,0.12006863540072776,0.1688525846167147,-0.006511412709907242,0.3911981856193256
CAD,0.5029341500327645,0.3425001656088764,1.0,0.23785744740673054,0.0410163247815772,0.31210674927820237,0.4597066848948447,0.3364434128492204,0.042964697313220494,0.18619793711157567,0.05910043701417017,0.22131324938522295,-0.003681415953297932,0.32443725637445486,0.16792419799849334,0.42384641946262214,0.4268418702465949,0.3913018087026456,0.38572537360567694,0.15580779878428846,0.22248246016049086,0.01588315324419047,0.3742419707428537
CHF,0.27384261867747456,0.10283893622299382,0.23785744740673054,1.0,0.06124327194554295,0.7607700079337948,0.7861666009591392,0.5743107300529814,0.10653862117331393,0.15491429626250522,0.48094091566888614,0.08912227952515142,0.005944662111114921,0.042364715035615626,0.17653198642136253,0.6309276060079084,0.29632229102828433,0.6245958097717649,0.4289085178920643,0.13234208570149794,0.15755665373565614,0.00982651002660356,0.30791157896236165
CNY,0.054287786452986854,0.1206785772259297,0.0410163247815772,0.06124327194554295,1.0,0.07144727969403666,0.21156067908257783,0.07541930855079296,0.029153106437620303,0.05841322312583316,0.04541942893236976,0.045921149227754116,0.014337713456938508,0.03733172592957533,0.04441236660958595,0.07552540714043565,0.048906325958638565,0.06827940091380405,0.08384530421391523,0.03526324037228614,0.06545395776944905,0.004011379402088502,0.06251521218581382
DKK,0.3509788095168138,0.20087438475928776,0.31210674927820237,0.7607700079337948,0.07144727969403666,1.0,0.9804598584098543,0.6243061656871555,0.10063401651906569,0.19773714489365346,0.4123097015603189,0.13439380756779684,0.017040578934329777,0.14029753338589296,0.1989210004899984,0.7360177565778286,0.36412524338872604,0.7371754770290876,0.4754475088462115,0.15078101706865596,0.19007626533056413,0.00652827548708803,0.369408180559495
EUR,0.5502906152293904,0.22638909907103016,0.4597066848948447,0.7861666009591392,0.21156067908257783,0.9804598584098543,1.0,0.6447330035471671,0.11887932801307036,0.22845347906208585,0.3145224532628702,0.26114604949702525,0.003405444918877155,0.2509690602166348,0.21429120418883238,0.7487808199620171,0.5461443806119705,0.815833722651058,0.5954701442923777,0.303607013123989,0.2740506223301712,0.006335964157020048,0.41242751289462226
GBP,0.38184868755874074,0.22786664085265182,0.3364434128492204,0.5743107300529814,0.07541930855079296,0.6243061656871555,0.6447330035471671,1.0,0.09432965578419715,0.21820572276239067,0.3113017502894755,0.15196780396981688,0.010214639364912612,0.18150978003085924,0.18765531968394009,0.595555177457669,0.38488206466460034,0.5717518945411527,0.4241096188147082,0.13142394844367122,0.17718242533583467,0.010099019492394752,0.369895417982661
HKD,0.039125789691581966,0.06706550414765595,0.042964697313220494,0.10653862117331393,0.029153106437620303,0.10063401651906569,0.11887932801307036,0.09432965578419715,1.0,0.06286834101829844,0.08422312095063596,0.017823538995043495,0.0034199749203160826,0.07362841348095739,0.06628711673920383,0.07919874077623122,0.051559378855921524,0.07480051173015011,0.11090643864567186,0.02102611122112934,0.04948983161861079,-0.010395524082688862,0.05374328289293177
INR,0.18015338302663514,0.2057084861364199,0.18619793711157567,0.15491429626250522,0.05841322312583316,0.19773714489365346,0.22845347906208585,0.21820572276239067,0.06286834101829844,1.0,0.06695017940226965,0.1525644441042647,0.04066943671122748,0.19335067468987754,0.15094560444455604,0.22423153088706477,0.17397786398181625,0.19078096497506986,0.2631366672899619,0.12466269460636882,0.18405656331836595,0.001431835876494943,0.2256965015235977
JPY,0.1436051341828251,-0.020088277691109317,0.05910043701417017,0.48094091566888614,0.04541942893236976,0.4123097015603189,0.3145224532628702,0.3113017502894755,0.08422312095063596,0.06695017940226965,1.0,0.047923502972843764,0.020666629329275564,-0.045573275741270076,0.1453565205198719,0.31904376153974723,0.18296461225588748,0.3123077310325317,0.40476904345480696,0.17704188219068004,0.12629544672302287,0.001009690265605318,0.14527776030305614
KRW,0.2506112805671681,0.19277632133664235,0.22131324938522295,0.08912227952515142,0.045921149227754116,0.13439380756779684,0.26114604949702525,0.15196780396981688,0.017823538995043495,0.1525644441042647,0.047923502972843764,1.0,0.0013984632225826196,0.17418504091345915,0.24971002858471011,0.18765012432198297,0.21121046172236563,0.18133903386820632,0.2904678390511464,0.17988030087168141,0.34040118726935825,0.00700393123600612,0.19932779553493718
LKR,0.0019074344740609747,0.011947705599507577,-0.003681415953297932,0.005944662111114921,0.014337713456938508,0.017040578934329777,0.003405444918877155,0.010214639364912612,0.0034199749203160826,0.04066943671122748,0.020666629329275564,0.0013984632225826196,1.0,0.009411560950219892,0.011269198403816176,0.016308962676306757,0.008689620893097555,0.006949069037788474,0.020937081949764923,0.003353627475615588,0.028289145230701803,0.0003209837152661811,0.01192923172841588
MXN,0.3200183354475029,0.40215174752356675,0.32443725637445486,0.042364715035615626,0.03733172592957533,0.14029753338589296,0.2509690602166348,0.18150978003085924,0.07362841348095739,0.19335067468987754,-0.045573275741270076,0.17418504091345915,0.009411560950219892,1.0,0.13611459586109925,0.24853464384750176,0.2752709848814445,0.2247936261197027,0.2391715828648205,0.12139134538099501,0.15008502921872005,-0.0024653265948985413,0.3439809176687895
MYR,0.23209389976267183,0.132720565464883,0.16792419799849334,0.17653198642136253,0.04441236660958595,0.1989210004899984,0.21429120418883238,0.18765531968394009,0.06628711673920383,0.15094560444455604,0.1453565205198719,0.24971002858471011,0.011269198403816176,0.13611459586109925,1.0,0.21260641356033044,0.21747429048879588,0.1962341080067518,0.487023380207302,0.30985984685528356,0.2808151658746996,0.009588524696062592,0.19513081540690339
NOK,0.4346166615244132,0.3065328201605737,0.42384641946262214,0.6309276060079084,0.07552540714043565,0.7360177565778286,0.7487808199620171,0.595555177457669,0.07919874077623122,0.22423153088706477,0.31904376153974723,0.18765012432198297,0.016308962676306757,0.24853464384750176,0.21260641356033044,1.0,0.4244777339073528,0.7617396778833261,0.4913770387085874,0.18072222294279713,0.22916624211768483,0.009376171126113077,0.4299470578378259
NZD,0.6806345386010276,0.3295438711389846,0.4268418702465949,0.29632229102828433,0.048906325958638565,0.36412524338872604,0.5461443806119705,0.38488206466460034,0.051559378855921524,0.17397786398181625,0.18296461225588748,0.21121046172236563,0.008689620893097555,0.2752709848814445,0.21747429048879588,0.4244777339073528,1.0,0.4002640958214454,0.449161508576382,0.19134875732714385,0.22547843938879597,0.0044076224154033705,0.3618867494370381
SEK,0.4146824679051855,0.2742354201316846,0.3913018087026456,0.6245958097717649,0.06827940091380405,0.7371754770290876,0.815833722651058,0.5717518945411527,0.07480051173015011,0.19078096497506986,0.3123077310325317,0.18133903386820632,0.006949069037788474,0.2247936261197027,0.1962341080067518,0.7617396778833261,0.4002640958214454,1.0,0.46872799225572076,0.16982977938995605,0.2148098241303189,0.004282224919813832,0.40157958284281187
SGD,0.4697892956373969,0.2906213347711198,0.38572537360567694,0.4289085178920643,0.08384530421391523,0.4754475088462115,0.5954701442923777,0.4241096188147082,0.11090643864567186,0.2631366672899619,0.40476904345480696,0.2904678390511464,0.020937081949764923,0.2391715828648205,0.487023380207302,0.4913770387085874,0.449161508576382,0.46872799225572076,1.0,0.37132131707110716,0.3540721675551994,-0.002677205609575127,0.39415464433696845
THB,0.19401642465847696,0.12006863540072776,0.15580779878428846,0.13234208570149794,0.03526324037228614,0.15078101706865596,0.303607013123989,0.13142394844367122,0.02102611122112934,0.12466269460636882,0.17704188219068004,0.17988030087168141,0.003353627475615588,0.12139134538099501,0.30985984685528356,0.18072222294279713,0.19134875732714385,0.16982977938995605,0.37132131707110716,1.0,0.20171369443200646,0.005058552487747913,0.14625669829960924
TWD,0.24962221769934748,0.1688525846167147,0.22248246016049086,0.15755665373565614,0.06545395776944905,0.19007626533056413,0.2740506223301712,0.17718242533583467,0.04948983161861079,0.18405656331836595,0.12629544672302287,0.34040118726935825,0.028289145230701803,0.15008502921872005,0.2808151658746996,0.22916624211768483,0.22547843938879597,0.2148098241303189,0.3540721675551994,0.20171369443200646,1.0,-0.01461589826227189,0.20462457576847606
VEF,0.0059958603423728015,-0.006511412709907242,0.01588315324419047,0.00982651002660356,0.004011379402088502,0.00652827548708803,0.006335964157020048,0.010099019492394752,-0.010395524082688862,0.001431835876494943,0.001009690265605318,0.00700393123600612,0.0003209837152661811,-0.0024653265948985413,0.009588524696062592,0.009376171126113077,0.0044076224154033705,0.004282224919813832,-0.002677205609575127,0.005058552487747913,-0.01461589826227189,1.0,-0.0016335319028428735
ZAR,0.41393310872474165,0.3911981856193256,0.3742419707428537,0.30791157896236165,0.06251521218581382,0.369408180559495,0.41242751289462226,0.369895417982661,0.05374328289293177,0.2256965015235977,0.14527776030305614,0.19932779553493718,0.01192923172841588,0.3439809176687895,0.19513081540690339,0.4299470578378259,0.3618867494370381,0.40157958284281187,0.39415464433696845,0.14625669829960924,0.20462457576847606,-0.0016335319028428735,1.0
