currency,n_days,start_date,end_date,daily_volatility,annualized_volatility,excess_kurtosis,skewness,max_daily_log_return,min_daily_log_return,tail_events_3sigma,expected_normal,tail_ratio
LKR,12930,1973-01-03,2025-12-31,0.007389705303898985,0.1173079349770302,4109.504362413345,48.12529992941692,0.6290311244929285,-0.17939920283831556,104,34.9,2.98
CNY,11230,1981-01-05,2025-12-31,0.005164968379204594,0.08199133116532625,3846.2742924574454,54.44371261730821,0.40545937529728127,-0.024294871639786105,16,30.3,0.53
VEF,6511,2000-01-04,2025-12-31,0.2398048691147142,3.806784281159566,2560.477956631908,-43.67944751916057,5.8126368795682835,-13.806393838398423,5,17.6,0.28
THB,11209,1981-01-05,2025-12-31,0.0054902710615803854,0.08715535115565773,279.4349041940192,7.350679757027952,0.20769034227169214,-0.07408050981145702,161,30.3,5.32
HKD,11290,1981-01-05,2025-12-31,0.001995230539725511,0.03167330289812929,260.690422110845,5.316668612292925,0.06530509840776653,-0.041061486797773925,155,30.5,5.09
KRW,11176,1981-04-14,2025-12-31,0.006784908131367603,0.10770707750411182,139.6912396604025,-1.013912854891167,0.13645110272785732,-0.19758735212883174,132,30.2,4.37
MXN,8058,1993-11-09,2025-12-31,0.008929653067265937,0.14175384786042478,106.44683988730537,3.1113641712881663,0.20163734609324613,-0.17969343438768512,91,21.8,4.18
INR,13282,1973-01-03,2025-12-31,0.004684829846057872,0.07436936824393284,84.83003008289222,2.925742161974555,0.12811014981223304,-0.055177561425987585,221,35.9,6.16
NZD,13774,1971-01-05,2025-12-31,0.007381613206733586,0.1171794769169225,75.13874438893596,2.8044515145627664,0.20582884453964334,-0.0994855512148054,180,37.2,4.84
AUD,13783,1971-01-05,2025-12-31,0.006910064897795297,0.10969387957729988,72.20667379285999,2.510451587000551,0.19245070727549188,-0.10732553888788406,146,37.2,3.92
MYR,13768,1971-01-05,2025-12-31,0.004349278375294566,0.06904265378172282,71.39221348976885,-1.094051587945592,0.07195678602105074,-0.0915671935254905,226,37.2,6.08
TWD,10303,1983-10-04,2025-12-31,0.0030228520305266627,0.04798628833752107,30.528172451928995,0.31673012548037305,0.0408219945202552,-0.04073105176865453,165,27.8,5.93
SEK,13789,1971-01-05,2025-12-31,0.006724562495186984,0.10674912022786043,28.60074538443132,1.2312624847113833,0.1507437914549299,-0.05404014957828127,160,37.2,4.3
CHF,13790,1971-01-05,2025-12-31,0.006943682058617625,0.11022753546121955,14.49004564656627,-0.4105527876605628,0.08890689133141738,-0.13022245267146565,167,37.2,4.49
ZAR,11533,1980-01-03,2025-12-31,0.009704633786487253,0.15405628538400223,13.624956886647045,-0.02145042443749952,0.1029612283831184,-0.14404887027281293,177,31.1,5.68
BRL,7773,1995-01-03,2025-12-31,0.009828060015740448,0.15601561603120065,13.086460414903915,0.3509170054424554,0.11441035117774412,-0.09668235535314154,114,21.0,5.43
SGD,11289,1981-01-05,2025-12-31,0.0033270290613795755,0.052814949006570036,10.633707660284529,-0.43911169762545305,0.027617588343410802,-0.04144407852165424,179,30.5,5.87
DKK,13789,1971-01-05,2025-12-31,0.006259482363653178,0.09936620202132647,9.94131453978452,0.0873060223089254,0.08129610244802975,-0.07813082736577967,173,37.2,4.65
CAD,13796,1971-01-05,2025-12-31,0.004100885041354529,0.06509953184813347,9.320094993099584,-0.07540738808590307,0.03806962493683204,-0.05071598584889788,218,37.2,5.85
JPY,13784,1971-01-05,2025-12-31,0.0063717355240129475,0.10114816569848449,9.039930113838423,-0.6517077667301415,0.0625558060321894,-0.09504764862723977,202,37.2,5.43
NOK,13789,1971-01-05,2025-12-31,0.006822343156660605,0.108301340107604,6.9148074069898176,0.267694308552521,0.06817660370581122,-0.06443951417730108,162,37.2,4.35
GBP,13790,1971-01-05,2025-12-31,0.00592445944865739,0.09404787812180575,6.901837927126373,0.3530135423850106,0.08169384482533137,-0.04588529647680193,177,37.2,4.75
EUR,6769,1999-01-05,2025-12-31,0.005790790442750807,0.0919259484360495,2.48253803885615,-0.1102664593098577,0.030031007712162036,-0.04620792200427117,73,18.3,3.99
